Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
BRB101_S20_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4801818151e-06	2.54405454453e-05	3.39207272604e-05	7.63216363359e-05	6.78414545208e-05	8.4801818151e-05	0.000237445090823	0.000347687454419	0.000619053272502	0.000873458726955	0.00110242363596	0.0016875561812	0.00197588236292	0.00350231508964	0.00368887908957	0.00641949763403	0.00787808890623	0.0105069452689	0.0122962636319	0.0150862434491	0.0174437339937	0.0190973694476	0.0201828327199	0.0204881192653	0.0234561829006	0.0263055239904	0.0288071776259	0.0301470463527	0.029629755262	0.0292481470803	0.0283577279897	0.0292481470803	0.0302318481708	0.0261444005359	0.0249147741728	0.0280185207171	0.0278997981717	0.0264751276267	0.0264666474449	0.0264242465358	0.0225996845372	0.0231678567188	0.0225572836282	0.0219467105375	0.0216838249012	0.0210393310833	0.0208612472651	0.0222774376283	0.02237919981	0.0224555214464	0.0218703889011	0.0231000152643	0.0231084954461	0.0213785383559	0.0187072810841	0.0161547463578	0.0135428503587	0.0119994572684	0.00956564508743	0.00703007072472	0.00608877054324	0.00513899017995	0.0037652007259	0.00304438527162	0.00249317345364	0.00191652109021	0.00124658672682	0.000873458726955	0.000763216363359	0.000542731636166	0.000364647818049	0.000381608181679	0.000254405454453	0.000110242363596	5.08810908906e-05	2.54405454453e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4801818151e-06
BRB102_S24_L001	0.0	0.0	6.46241138418e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46241138418e-06	3.23120569209e-05	6.46241138418e-05	5.16992910735e-05	0.000129248227684	0.000193872341526	0.000381282271667	0.000465293619661	0.000846575891328	0.00169315178266	0.0016737645485	0.0022489191617	0.00309549505302	0.00498251917721	0.00573862130916	0.00900860146955	0.011354456802	0.0149927944113	0.0174743603828	0.0208929760051	0.023936771767	0.0269094810037	0.0252421788666	0.0273941618576	0.0306447547838	0.0335334526725	0.0369132938265	0.0374302867372	0.0368228200671	0.0347936228924	0.0340762952288	0.0331521704009	0.0323831434461	0.0284539973246	0.0268319320671	0.0286607944889	0.0284022980335	0.0264958866752	0.0248221221267	0.024440839855	0.0201110242276	0.0208542015368	0.0198137533039	0.0183984852108	0.0175389844967	0.0159944681759	0.0154645504424	0.0161624908718	0.0156131859042	0.0147730724242	0.0148570837722	0.0147407603673	0.0143077788046	0.0145016511461	0.0118132880103	0.0105725050245	0.00905383834924	0.00765795749026	0.00621683975158	0.00476279719014	0.00418764257695	0.00335399150839	0.00255265249675	0.00228123121862	0.00200980994048	0.00157682837774	0.00106629787839	0.00078841418887	0.000697940429492	0.000575154613192	0.000284346100904	0.00035543262613	0.00020033475291	9.04737593786e-05	6.46241138418e-05	6.46241138418e-06	1.29248227684e-05	0.0	0.0	0.0	6.46241138418e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46241138418e-06
BRB104_S21_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.66765323805e-06	7.66765323805e-06	1.53353064761e-05	5.36735726663e-05	3.83382661902e-05	8.43441856185e-05	0.000138017758285	0.000283703169808	0.000360379702188	0.00066708583171	0.00105813614685	0.00125749513104	0.00144151880875	0.0024383137297	0.00325875262617	0.00422487693417	0.00647916698615	0.00837307733595	0.011210109034	0.0129966722385	0.016040730574	0.018425370731	0.0204342958794	0.019552515757	0.0218298087687	0.025027220169	0.0277799076815	0.0302182214112	0.0313837047033	0.0314757165422	0.0297888328298	0.0297044886442	0.0294514560873	0.0293977825147	0.0264073977518	0.0244521461761	0.0275268751246	0.0279332607462	0.0265300802037	0.0257096413072	0.0257249766137	0.0220138324464	0.0230643009401	0.0221901884709	0.0212010612032	0.0209786992593	0.0191998037081	0.0197518747412	0.0214464261068	0.0217761351961	0.0213927525342	0.0207946755816	0.021967826527	0.0214617614133	0.0210783787514	0.0177506172461	0.0153813123955	0.0130196751982	0.0113404591391	0.00929319572452	0.00729193822939	0.00618012850987	0.00502998052416	0.00377248539312	0.0033047585456	0.00289070527074	0.00216994586637	0.00128816574399	0.00094312134828	0.000743762364091	0.000705424097901	0.000475394500759	0.000360379702188	0.000291370823046	0.000153353064761	6.13412259044e-05	2.30029597141e-05	7.66765323805e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53353064761e-05
BRB106_S19_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25347840257e-05	1.25347840257e-05	0.0	0.0	0.0	5.01391361027e-05	0.000112813056231	6.26739201284e-05	0.000188021760385	0.000200556544411	0.000488856577001	0.000476321792976	0.00110306099426	0.00171726541152	0.00201810022813	0.00250695680513	0.00367269171952	0.00559051367545	0.00668103988568	0.0100779663566	0.0135751710998	0.0164456366417	0.020005515305	0.0238536940009	0.0265737421344	0.0301336207977	0.0300960164456	0.0316879340169	0.0343954473664	0.0372784476923	0.0401614480183	0.0407255132994	0.0389581087518	0.0369525433077	0.0358118779613	0.0342700995262	0.0339817994936	0.0305096643185	0.0283662162501	0.0298829251172	0.027852290105	0.0261475594776	0.0240542505453	0.0232018852315	0.0183634585976	0.0189275238788	0.0183885281657	0.0165459149139	0.0159693148487	0.0147534407982	0.0135877058838	0.0137255885081	0.0126225275139	0.0121211361528	0.0117826969841	0.0116573491439	0.0111684925669	0.0103161272531	0.00894983579433	0.00838577051317	0.00675624858984	0.00536488756299	0.00444984832911	0.00320890471057	0.00270751334954	0.00236907418085	0.0018050088997	0.00161698713931	0.00105292185816	0.000952643585951	0.000727017473489	0.000488856577001	0.000426182656873	0.000313369600642	0.000162952192334	0.000150417408308	0.000137882624282	8.77434881797e-05	1.25347840257e-05	0.0	1.25347840257e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7604352077e-05
BRB108_S1_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60660636537e-05	4.81981909612e-05	9.63963819225e-05	4.81981909612e-05	0.000176726700191	0.00025705701846	0.000449849782305	0.00051411403692	0.00125315296499	0.00165480455634	0.00202432402037	0.00273123082114	0.00412897835901	0.00602477387015	0.00668348247996	0.0106678662661	0.0133669649599	0.016981829282	0.0203878347766	0.0239063027168	0.0268945905564	0.0296097553139	0.0305897851967	0.030621917324	0.0343171119644	0.0351364812107	0.0392975916971	0.0382854296869	0.0373857301223	0.0364057002394	0.0342689137734	0.0333370820815	0.03275870379	0.0291277734042	0.0274087045933	0.0286779236219	0.0267499959835	0.0245971434539	0.0235207171891	0.0226852818791	0.0182189161833	0.018700898093	0.0183153125653	0.0162588564176	0.0161142618447	0.0148771749434	0.0135758237874	0.0141863342063	0.0134633613418	0.0135758237874	0.0127885866684	0.0129813794322	0.0124030011407	0.012065613804	0.0106196680751	0.00910945809167	0.0077438426811	0.00650675577977	0.00549459376958	0.00393618559517	0.00342207155825	0.00268303263018	0.00213678646595	0.00192792763845	0.0017030027473	0.00114069051942	0.000755104991726	0.000594444355189	0.000562312227881	0.000273123082114	0.000273123082114	0.000208858827499	0.000112462445576	0.00012852850923	3.21321273075e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60660636537e-05
BRB10_S11_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13691917642e-05	2.27383835283e-05	0.000102322725877	5.68459588208e-05	0.000204645451755	0.000159168684698	0.00040929090351	0.000659413122321	0.00117102675171	0.00170537876462	0.00197823936696	0.00273997521516	0.00372909489864	0.00642359334675	0.00659413122321	0.0106756710665	0.0134724922405	0.0163716361404	0.0205327603261	0.0236365496777	0.027479336494	0.0297304364633	0.0290482849574	0.0313903384608	0.0335845924713	0.0354150323454	0.0386779903817	0.0397580635993	0.0381436383687	0.0351535409348	0.0349602646748	0.0332776242937	0.0335618540878	0.0294348374774	0.0282524415339	0.0274452289187	0.0275475516446	0.0250463294564	0.023090828473	0.0233977966506	0.018509044192	0.018509044192	0.0186113669179	0.0163261593733	0.0156440078675	0.0143251816228	0.014075059404	0.0140182134452	0.0139272599111	0.0127903407347	0.0126425412417	0.0124265265982	0.0124947417488	0.0117784826677	0.0107097786418	0.00883386200075	0.00745818979729	0.0061848403197	0.0054231044715	0.00397921711746	0.00328569641984	0.00291051309162	0.00206919290108	0.00191002421638	0.00153484088816	0.00127334947759	0.000841320190548	0.000613936355265	0.000625305547029	0.000352444944689	0.000284229794104	0.000227383835283	0.000181907068227	0.000102322725877	2.27383835283e-05	2.27383835283e-05	1.13691917642e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13691917642e-05
BRB111_S2_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.28411190178e-06	0.0	0.0	1.65682238036e-05	2.48523357054e-05	5.79887833125e-05	6.62728952143e-05	0.000132545790429	0.000223671021348	0.000422489706991	0.000579887833125	0.00110178688294	0.00157398126134	0.0018390728422	0.00262606347287	0.00335506532022	0.00524384283383	0.00618823159063	0.00938589878472	0.0119042688029	0.0159800518585	0.0186143994433	0.02243337503	0.0250842908386	0.028083139347	0.0270807618069	0.0290855168872	0.0322914681932	0.0340394158044	0.0374193334604	0.0379992212935	0.0373944811247	0.0359033409823	0.0334926644189	0.0340891204758	0.0321009336194	0.029267767349	0.0274369786187	0.0287375841873	0.0282156851375	0.0262937711763	0.0246866534673	0.0234606049059	0.0203126423832	0.0197244704381	0.0186889564504	0.0174877602247	0.0168001789368	0.0155741303754	0.0147954238566	0.0155989827111	0.0155078574801	0.0139587285545	0.0136107958546	0.014339797702	0.0135528070713	0.0131137491405	0.0113160968578	0.00969241092509	0.00811014555185	0.00679297175946	0.00580716244315	0.00446513631506	0.00362015690108	0.0027751774871	0.00235268778011	0.00191362984931	0.00164025415655	0.00127575323287	0.000820127078277	0.000571603721223	0.000521899049812	0.000422489706991	0.000314796252268	0.000223671021348	0.000190534573741	8.28411190178e-05	3.31364476071e-05	0.0	2.48523357054e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48523357054e-05
BRB113_S3_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31926991603e-05	5.27707966411e-05	6.59634958014e-05	7.25598453816e-05	0.000145119690763	0.000270450332786	0.000547497015152	0.000620056860533	0.00135225166393	0.00174803263874	0.00201848297152	0.00275067777492	0.00402377324389	0.00563987889102	0.00686679991293	0.0106267191736	0.0135291129889	0.0172428578025	0.0206399778363	0.0244988423406	0.0274078325055	0.0295252607207	0.028845836714	0.0310819992216	0.0331796383881	0.0363920606336	0.0394857485867	0.0393604179447	0.0384171399547	0.0361018212521	0.0347297805394	0.0335226485663	0.0330345186974	0.0290371308518	0.0278893660248	0.028766680519	0.0282455689022	0.0255806436718	0.023581949749	0.0236017387977	0.0191755882295	0.0193602860177	0.0173154176479	0.016998792868	0.0155278069117	0.0142217296948	0.0131399283636	0.0137929669721	0.0136082691838	0.0120317416342	0.0125396605519	0.0120317416342	0.0115304190661	0.011563400814	0.00978238642735	0.00833118951972	0.00707128674991	0.00620716495491	0.0053496395095	0.0036873594153	0.00315305509931	0.00277706317324	0.002058061069	0.00175462898832	0.00181399613454	0.00129948086729	0.000831140047098	0.000613460510953	0.000560689714312	0.00048153351935	0.000310028430267	0.000237468584885	0.000158312389923	9.2348894122e-05	3.29817479007e-05	2.63853983206e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97890487404e-05
BRB114_S22_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59224635689e-06	3.43689854276e-05	3.43689854276e-05	3.43689854276e-05	9.45147099258e-05	0.00011169920264	0.000300728622491	0.000335097607919	0.000713156447622	0.00101388507011	0.00124587572175	0.00172704151773	0.00245738245807	0.00401257904867	0.00439923013473	0.00678787462194	0.00890156722574	0.0111871047567	0.0142115754743	0.016540074237	0.018851388507	0.0219016359637	0.0209049353863	0.0233880945834	0.0252440197965	0.027349120154	0.0309406791312	0.032693497388	0.0316366510861	0.0305883970305	0.0303220373935	0.0301845614517	0.0302017459445	0.0274264503712	0.0255877096508	0.0276326642838	0.0275639263129	0.0264211575474	0.0257509623316	0.025544748419	0.0219531894418	0.0227780450921	0.0219961506736	0.0213517321969	0.0196762441573	0.0199168270553	0.0186967280726	0.0210767803134	0.0204065850976	0.0202433324168	0.0199254193016	0.0208533819082	0.0205440610393	0.0198652735771	0.0166431811933	0.0145294885895	0.0124845339566	0.010594239758	0.00891015947209	0.00672772889744	0.00563651361012	0.00487180368436	0.00375481165796	0.00285262579049	0.00239723673357	0.0020535468793	0.00122869122903	0.000842040142975	0.000902185867473	0.000653010723123	0.000378058839703	0.000446796810558	0.000300728622491	0.000103106956283	5.15534781413e-05	3.43689854276e-05	8.59224635689e-06	1.71844927138e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59224635689e-06
BRB118_S20_L001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66157001678e-05	0.000155385667226	4.66157001678e-05	0.000108769967058	0.000248617067562	0.00035738703462	0.000637081235627	0.00119646963764	0.00170924233949	0.00194232084033	0.00279694201007	0.00399341164771	0.00590465535459	0.00675927652433	0.0107216110386	0.0133476288147	0.0171079619616	0.020837217975	0.0243178569209	0.0279849586674	0.0309683634782	0.0314345204798	0.0323823730499	0.0359407048294	0.0386599540058	0.0405245820126	0.0410373547144	0.0400895021443	0.0379141028032	0.0362514761638	0.0347597737585	0.033889614022	0.0313568276462	0.0280937286345	0.0305488221766	0.027953881534	0.0252812480577	0.0232612343837	0.0233855429175	0.0176051960967	0.0190968985021	0.0180247373982	0.0161134936913	0.015289949655	0.0145440984524	0.0130368574803	0.0124308533781	0.012601777612	0.0111411523401	0.0109080738393	0.00974268133507	0.0107371496053	0.0097582199018	0.00794020759525	0.0077692833613	0.00613773385543	0.00503449561812	0.00377587171359	0.00313879047797	0.00200447510722	0.00217539934116	0.00166262663932	0.00135185530487	0.00101000683697	0.000823544036298	0.000512772701846	0.000528311268569	0.000372925601343	0.000264155634284	0.000124308533781	0.000124308533781	0.000202001367394	4.66157001678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55385667226e-05
